,Region,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
49,EMEA,APK,3,27,0.64,0.1891891891891892,0.0,0.0,0.33,0.62,0.8975,0.3675,0.6100000000000001,1.0,0.2033333333333333,0.0,1.0,0.0,0.0,3,31,0.76,0.0357142857142857,0.33,0.5,0.31,0.68,0.6325,0.1025,0.39,0.7966666666666667,0.0,0.0,1.0,1.0,0.0,0
50,EMEA,FUT,3,30,0.83,0.1111111111111111,0.0,0.0,0.67,0.67,0.7975,0.125,0.69,0.82,0.0,0.0,1.0,1.0,0.0,1,13,0.61,0.1333333333333333,0.0,0.25,0.25,0.52,0.875,0.2025,0.31,1.0,0.18,0.0,0.0,1.0,0.0,1
51,EMEA,MKOI,1,13,0.61,0.1333333333333333,0.0,0.25,0.25,0.52,0.875,0.2025,0.31,1.0,0.18,0.0,0.0,1.0,0.0,3,30,0.83,0.1111111111111111,0.0,0.0,0.67,0.67,0.7975,0.125,0.69,0.82,0.0,0.0,1.0,1.0,0.0,0
52,EMEA,FNC,3,24,0.7,0.1333333333333333,0.0,0.5,0.57,0.64,0.88,0.2475,0.5975,1.0,0.0466666666666666,0.0,1.0,1.0,0.0,1,18,0.68,0.074074074074074,0.0,0.0,0.33,0.5,0.7525,0.12,0.4025,0.62,0.0,0.0,1.0,1.0,0.0,1
53,EMEA,NAVI,1,18,0.68,0.074074074074074,0.0,0.0,0.33,0.5,0.7525,0.12,0.4025,0.62,0.0,0.0,1.0,1.0,0.0,3,24,0.7,0.1333333333333333,0.0,0.5,0.57,0.64,0.88,0.2475,0.5975,1.0,0.0466666666666666,0.0,1.0,1.0,0.0,0
54,EMEA,TL,2,36,0.67,0.1111111111111111,0.33,0.29,0.5,0.56,0.7775000000000001,0.0875,0.425,0.9433333333333334,0.04,0.0,1.0,1.0,0.0,4,28,0.72,0.1176470588235294,0.33,0.25,0.64,0.5,0.9125,0.2225,0.575,0.96,0.0566666666666666,0.0,1.0,1.0,0.0,0
55,EMEA,M8,4,28,0.72,0.1176470588235294,0.33,0.25,0.64,0.5,0.9125,0.2225,0.575,0.96,0.0566666666666666,0.0,1.0,1.0,0.0,2,36,0.67,0.1111111111111111,0.33,0.29,0.5,0.56,0.7775000000000001,0.0875,0.425,0.9433333333333334,0.04,0.0,1.0,1.0,0.0,1
56,EMEA,TL,2,29,0.66,0.1724137931034483,0.25,0.33,0.5,0.68,0.89,0.19,0.6375,1.0,0.0,0.0,1.0,1.0,0.0,4,25,0.67,0.032258064516129,0.0,0.22,0.5,0.48,0.8099999999999999,0.11,0.3625,1.0,0.0,0.0,1.0,1.0,0.0,1
57,EMEA,BBL,4,25,0.67,0.032258064516129,0.0,0.22,0.5,0.48,0.8099999999999999,0.11,0.3625,1.0,0.0,0.0,1.0,1.0,0.0,2,29,0.66,0.1724137931034483,0.25,0.33,0.5,0.68,0.89,0.19,0.6375,1.0,0.0,0.0,1.0,1.0,0.0,0
58,EMEA,APK,3,29,0.69,0.0571428571428571,0.5,0.0,0.47,0.46,0.755,0.125,0.3175,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,3,37,0.74,0.125,0.0,0.0,0.4,0.67,0.875,0.245,0.6825,1.0,0.0666666666666666,0.0,1.0,1.0,0.0,0
