,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Result
0,BME,0.6111111111111112,26.555555555555557,0.7266666666666667,0.18908504751852842,0.0,0.4633333333333333,0.548888888888889,0.52,0.7627777777777778,0.2361111111111111,0.5375,0.8518518518518517,0.05555555555555553,0.034444444444444444,0.9383333333333334,0.7777777777777778,0.0,0.5555555555555556
1,DFM,0.45370370370370366,20.22222222222222,0.6655555555555556,0.11488817900653646,0.0,0.3466666666666667,0.43777777777777777,0.4011111111111111,0.6886111111111111,0.20777777777777778,0.4528703703703704,0.8988888888888888,0.05851851851851849,0.007777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222
2,DRX,0.5769230769230769,33.30769230769231,0.7330769230769231,0.1452998337154035,0.13307692307692306,0.2623076923076923,0.5561538461538462,0.5776923076923077,0.7832692307692307,0.22596153846153846,0.49326923076923074,0.9112820512820512,0.027692307692307676,0.0,0.9934615384615384,0.8461538461538461,0.0,0.7692307692307693
3,GE,0.375,20.125,0.67375,0.1299613077233313,0.0,0.22125,0.47000000000000003,0.46499999999999997,0.7259375,0.1984375,0.5211458333333333,0.9183333333333333,0.08166666666666664,0.0,0.84375,0.5,0.0,0.25
4,GEN,0.494047619047619,27.571428571428573,0.7335714285714285,0.16117272737026528,0.09,0.20785714285714288,0.6771428571428572,0.6192857142857143,0.8467857142857144,0.24499999999999997,0.5658928571428571,0.9547619047619048,0.10142857142857141,0.028928571428571432,0.9778571428571429,0.9285714285714286,0.0,0.6428571428571429
5,NS,0.4924242424242424,30.90909090909091,0.72,0.1661998325002896,0.13,0.24454545454545454,0.5681818181818182,0.5736363636363636,0.7827272727272727,0.23386363636363636,0.4681818181818182,0.9472727272727273,0.08636363636363634,0.0,1.0,0.9090909090909091,0.0,0.5454545454545454
6,PRX,0.5791666666666666,28.916666666666668,0.7333333333333334,0.16733830062508212,0.08333333333333333,0.3383333333333334,0.5299999999999999,0.575,0.7664583333333334,0.269375,0.4827083333333333,0.9413888888888889,0.07027777777777774,0.007083333333333334,0.98,0.9166666666666666,0.0,0.5
7,RRQ,0.5166666666666667,33.76923076923077,0.7276923076923077,0.17257280274077835,0.10230769230769231,0.09769230769230769,0.5115384615384616,0.5953846153846154,0.7938461538461539,0.23461538461538461,0.5153846153846154,0.9617948717948719,0.07128205128205126,0.007692307692307693,1.0,0.7692307692307693,0.0,0.6153846153846154
8,T1,0.37179487179487175,30.846153846153847,0.6976923076923077,0.1246792457291891,0.12076923076923077,0.17307692307692307,0.5646153846153846,0.5515384615384615,0.7690384615384616,0.23346153846153844,0.49903846153846154,0.9161538461538462,0.05461538461538458,0.007692307692307693,0.8846153846153846,0.8461538461538461,0.0,0.5384615384615384
9,TLN,0.5069444444444444,24.666666666666668,0.6883333333333334,0.12843767689313665,0.016666666666666666,0.11,0.4891666666666667,0.5033333333333333,0.75875,0.22229166666666667,0.535,0.9516666666666667,0.0458333333333333,0.0,0.875,0.8333333333333334,0.0,0.5
10,TS,0.5357142857142857,25.285714285714285,0.6785714285714286,0.11550174081212299,0.10714285714285714,0.19,0.4585714285714286,0.48,0.7342857142857142,0.19035714285714286,0.34500000000000003,0.9057142857142857,0.05619047619047617,0.0,0.9714285714285714,1.0,0.0,0.14285714285714285
11,ZETA,0.4642857142857143,25.0,0.6614285714285714,0.1471761168153358,0.09428571428571429,0.09571428571428572,0.48,0.5085714285714286,0.6846428571428571,0.19142857142857142,0.5167857142857143,0.91,0.03666666666666666,0.01,1.0,0.7142857142857143,0.0,0.2857142857142857
