,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
17,BOOM Esports,3,27,0.75,0.11764705882352941,0.0,0.29,0.41,0.52,0.6725000000000001,0.24250000000000002,0.5175,0.7333333333333334,0.19333333333333336,0.0,1.0,1.0,0.0,3,31,0.75,0.11538461538461539,0.0,0.33,0.67,0.61,0.7575,0.32749999999999996,0.4825,0.8066666666666666,0.26666666666666666,0.0,1.0,1.0,0.0,0
18,Paper Rex,2,24,0.81,0.14285714285714285,1.0,0.5,0.67,0.69,0.94,0.20750000000000002,0.385,0.9166666666666666,0.0,0.0,0.9299999999999999,1.0,0.0,2,15,0.62,0.1875,0.0,0.17,0.3,0.41,0.5425,0.060000000000000005,0.615,1.0,0.08333333333333333,0.07,1.0,1.0,0.0,1
19,ZETA DIVISION,2,15,0.62,0.1875,0.0,0.17,0.3,0.41,0.5425,0.060000000000000005,0.615,1.0,0.08333333333333333,0.07,1.0,1.0,0.0,2,24,0.81,0.14285714285714285,1.0,0.5,0.67,0.69,0.94,0.20750000000000002,0.385,0.9166666666666666,0.0,0.0,0.9299999999999999,1.0,0.0,0
20,Rex Regum Qeon,4,28,0.73,0.2,0.0,0.0,0.63,0.66,0.9375,0.2775,0.6825,0.9433333333333334,0.22333333333333336,0.1,1.0,1.0,0.0,2,27,0.66,0.05714285714285714,0.0,0.0,0.42,0.47,0.7225,0.0625,0.3175,0.7766666666666667,0.05666666666666667,0.0,0.9,1.0,0.0,1
21,Team Secret,2,27,0.66,0.05714285714285714,0.0,0.0,0.42,0.47,0.7225,0.0625,0.3175,0.7766666666666667,0.05666666666666667,0.0,0.9,1.0,0.0,4,28,0.73,0.2,0.0,0.0,0.63,0.66,0.9375,0.2775,0.6825,0.9433333333333334,0.22333333333333336,0.1,1.0,1.0,0.0,0
22,Global Esports,1,20,0.66,0.13793103448275862,0.0,0.0,0.67,0.45,0.7075,0.1575,0.4225,1.0,0.15,0.0,1.0,1.0,0.0,3,26,0.74,0.17391304347826086,0.0,0.0,0.53,0.63,0.8425,0.2925,0.5775,0.85,0.0,0.0,1.0,1.0,0.0,0
23,DetonatioN FocusMe,3,26,0.74,0.17391304347826086,0.0,0.0,0.53,0.63,0.8425,0.2925,0.5775,0.85,0.0,0.0,1.0,1.0,0.0,1,20,0.66,0.13793103448275862,0.0,0.0,0.67,0.45,0.7075,0.1575,0.4225,1.0,0.15,0.0,1.0,1.0,0.0,1
24,T1,2,30,0.73,0.1875,0.0,0.5,0.55,0.64,0.6175,0.3125,0.5575,0.9266666666666667,0.12333333333333334,0.0,1.0,1.0,0.0,4,27,0.69,0.10344827586206896,0.0,0.0,0.43,0.48,0.6875,0.3825,0.4425,0.8766666666666666,0.07333333333333333,0.0,1.0,1.0,0.0,1
25,TALON,4,27,0.69,0.10344827586206896,0.0,0.0,0.43,0.48,0.6875,0.3825,0.4425,0.8766666666666666,0.07333333333333333,0.0,1.0,1.0,0.0,2,30,0.73,0.1875,0.0,0.5,0.55,0.64,0.6175,0.3125,0.5575,0.9266666666666667,0.12333333333333334,0.0,1.0,1.0,0.0,0
26,Gen.G Esports,2,20,0.64,0.10714285714285714,0.0,0.33,0.5,0.42,0.7725,0.295,0.58,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,2,30,0.78,0.08695652173913043,0.0,1.0,0.43,0.65,0.7050000000000001,0.2275,0.42000000000000004,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,0
27,DRX,2,30,0.78,0.08695652173913043,0.0,1.0,0.43,0.65,0.7050000000000001,0.2275,0.42000000000000004,0.9166666666666666,0.0,0.0,1.0,1.0,0.0,2,20,0.64,0.10714285714285714,0.0,0.33,0.5,0.42,0.7725,0.295,0.58,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,1
28,Nongshim RedForce,3,54,0.73,0.19607843137254902,0.0,0.29,0.58,0.56,0.79,0.195,0.545,0.9766666666666667,0.0,0.0,1.0,1.0,0.0,3,35,0.74,0.14285714285714285,0.33,0.25,0.56,0.47,0.805,0.21000000000000002,0.45499999999999996,1.0,0.023333333333333334,0.0,1.0,1.0,0.0,1
29,Rex Regum Qeon,3,35,0.74,0.14285714285714285,0.33,0.25,0.56,0.47,0.805,0.21000000000000002,0.45499999999999996,1.0,0.023333333333333334,0.0,1.0,1.0,0.0,3,54,0.73,0.19607843137254902,0.0,0.29,0.58,0.56,0.79,0.195,0.545,0.9766666666666667,0.0,0.0,1.0,1.0,0.0,0
30,DetonatioN FocusMe,4,22,0.81,0.3125,0.0,0.5,0.59,0.79,0.825,0.495,0.64,1.0,0.16666666666666666,0.0,1.0,1.0,0.0,0,15,0.66,0.10714285714285714,0.0,0.33,0.17,0.5,0.505,0.17500000000000002,0.36,0.8333333333333334,0.0,0.0,1.0,1.0,0.0,1
31,Paper Rex,0,15,0.66,0.10714285714285714,0.0,0.33,0.17,0.5,0.505,0.17500000000000002,0.36,0.8333333333333334,0.0,0.0,1.0,1.0,0.0,4,22,0.81,0.3125,0.0,0.5,0.59,0.79,0.825,0.495,0.64,1.0,0.16666666666666666,0.0,1.0,1.0,0.0,0
32,TALON,6,29,0.75,0.23333333333333334,0.0,0.4,0.64,0.49,0.825,0.205,0.7875,0.9166666666666666,0.08333333333333333,0.0,1.0,1.0,0.0,0,34,0.71,0.1794871794871795,0.0,0.33,0.38,0.62,0.795,0.17500000000000002,0.2125,0.9166666666666666,0.08333333333333333,0.0,1.0,1.0,0.0,1
33,Nongshim RedForce,0,34,0.71,0.1794871794871795,0.0,0.33,0.38,0.62,0.795,0.17500000000000002,0.2125,0.9166666666666666,0.08333333333333333,0.0,1.0,1.0,0.0,6,29,0.75,0.23333333333333334,0.0,0.4,0.64,0.49,0.825,0.205,0.7875,0.9166666666666666,0.08333333333333333,0.0,1.0,1.0,0.0,0
34,Gen.G Esports,1,20,0.73,0.14285714285714285,0.33,0.0,1.0,0.73,0.95,0.3225,0.8025,1.0,0.22,0.0,1.0,1.0,0.0,3,20,0.62,0.0,0.0,0.0,0.42,0.09,0.4275,0.05,0.1975,0.7799999999999999,0.0,0.0,1.0,1.0,0.0,1
35,DetonatioN FocusMe,3,20,0.62,0.0,0.0,0.0,0.42,0.09,0.4275,0.05,0.1975,0.7799999999999999,0.0,0.0,1.0,1.0,0.0,1,20,0.73,0.14285714285714285,0.33,0.0,1.0,0.73,0.95,0.3225,0.8025,1.0,0.22,0.0,1.0,1.0,0.0,0
36,T1,1,37,0.7,0.0975609756097561,0.17,0.33,0.56,0.55,0.6925,0.1425,0.42000000000000004,0.9533333333333333,0.03333333333333333,0.0,1.0,1.0,0.0,5,39,0.71,0.22727272727272727,0.5,0.3,0.6,0.51,0.8574999999999999,0.3075,0.58,0.9666666666666667,0.04666666666666667,0.0,1.0,1.0,0.0,0
37,DRX,5,39,0.71,0.22727272727272727,0.5,0.3,0.6,0.51,0.8574999999999999,0.3075,0.58,0.9666666666666667,0.04666666666666667,0.0,1.0,1.0,0.0,1,37,0.7,0.0975609756097561,0.17,0.33,0.56,0.55,0.6925,0.1425,0.42000000000000004,0.9533333333333333,0.03333333333333333,0.0,1.0,1.0,0.0,1
38,TALON,2,13,0.59,0.07407407407407407,0.0,0.0,0.37,0.0,0.7324999999999999,0.05,0.3,0.9166666666666666,0.0,0.0,0.5,0.0,0.0,2,22,0.82,0.2,0.0,0.0,1.0,0.79,0.95,0.26749999999999996,0.7,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,0
39,Gen.G Esports,2,22,0.82,0.2,0.0,0.0,1.0,0.79,0.95,0.26749999999999996,0.7,1.0,0.08333333333333333,0.0,1.0,1.0,0.0,2,13,0.59,0.07407407407407407,0.0,0.0,0.37,0.0,0.7324999999999999,0.05,0.3,0.9166666666666666,0.0,0.0,0.5,0.0,0.0,1
40,T1,5,60,0.69,0.12903225806451613,0.2,0.2,0.57,0.57,0.89,0.14,0.54,0.9033333333333333,0.02666666666666667,0.0,1.0,1.0,0.0,5,57,0.74,0.1,0.4,0.0,0.38,0.56,0.86,0.11,0.46,0.9733333333333333,0.09666666666666668,0.0,1.0,1.0,0.0,1
41,Gen.G Esports,5,57,0.74,0.1,0.4,0.0,0.38,0.56,0.86,0.11,0.46,0.9733333333333333,0.09666666666666668,0.0,1.0,1.0,0.0,5,60,0.69,0.12903225806451613,0.2,0.2,0.57,0.57,0.89,0.14,0.54,0.9033333333333333,0.02666666666666667,0.0,1.0,1.0,0.0,0
42,DRX,5,57,0.73,0.12,0.4,0.33,0.54,0.55,0.8574999999999999,0.19999999999999998,0.465,0.9366666666666666,0.03333333333333333,0.0,1.0,0.0,0.0,5,50,0.73,0.09836065573770492,0.2,0.14,0.52,0.5,0.7999999999999999,0.1425,0.535,0.9666666666666667,0.06333333333333334,0.0,1.0,1.0,0.0,1
43,T1,5,50,0.73,0.09836065573770492,0.2,0.14,0.52,0.5,0.7999999999999999,0.1425,0.535,0.9666666666666667,0.06333333333333334,0.0,1.0,1.0,0.0,5,57,0.73,0.12,0.4,0.33,0.54,0.55,0.8574999999999999,0.19999999999999998,0.465,0.9366666666666666,0.03333333333333333,0.0,1.0,0.0,0.0,0
