,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
17,Paper Rex,2,35,0.68,0.18421052631578946,0.0,0.2,0.57,0.48,0.7150000000000001,0.1775,0.47,0.79,0.03333333333333333,0.0,0.9,1.0,0.0,4,23,0.75,0.22580645161290322,0.0,0.0,0.54,0.6,0.8225,0.285,0.53,0.9666666666666667,0.21,0.1,1.0,1.0,0.0,0
18,DRX,4,21,0.79,0.09090909090909091,0.0,0.0,0.7,0.65,0.9049999999999999,0.2975,0.48500000000000004,1.0,0.0,0.0,1.0,1.0,0.0,0,16,0.57,0.037037037037037035,0.0,0.2,0.36,0.43,0.7025,0.095,0.515,1.0,0.0,0.0,0.5,0.0,0.0,1
19,DetonatioN FocusMe,0,16,0.57,0.037037037037037035,0.0,0.2,0.36,0.43,0.7025,0.095,0.515,1.0,0.0,0.0,0.5,0.0,0.0,4,21,0.79,0.09090909090909091,0.0,0.0,0.7,0.65,0.9049999999999999,0.2975,0.48500000000000004,1.0,0.0,0.0,1.0,1.0,0.0,0
20,TALON,1,17,0.66,0.07692307692307693,0.0,0.0,0.4,0.4,0.495,0.185,0.385,0.85,0.0,0.0,0.5,1.0,0.0,3,22,0.73,0.23529411764705882,0.0,0.0,0.7,0.7,0.815,0.505,0.615,1.0,0.15,0.0,1.0,1.0,0.0,0
21,Rex Regum Qeon,3,22,0.73,0.23529411764705882,0.0,0.0,0.7,0.7,0.815,0.505,0.615,1.0,0.15,0.0,1.0,1.0,0.0,1,17,0.66,0.07692307692307693,0.0,0.0,0.4,0.4,0.495,0.185,0.385,0.85,0.0,0.0,0.5,1.0,0.0,1
22,BOOM Esports,3,24,0.81,0.25,0.0,1.0,0.57,0.72,0.9375,0.33999999999999997,0.55,0.9433333333333334,0.0,0.0,1.0,0.0,0.0,1,14,0.63,0.13333333333333333,0.0,0.0,0.25,0.47,0.66,0.0625,0.44999999999999996,1.0,0.05666666666666667,0.0,0.5,1.0,0.0,1
23,Global Esports,1,14,0.63,0.13333333333333333,0.0,0.0,0.25,0.47,0.66,0.0625,0.44999999999999996,1.0,0.05666666666666667,0.0,0.5,1.0,0.0,3,24,0.81,0.25,0.0,1.0,0.57,0.72,0.9375,0.33999999999999997,0.55,0.9433333333333334,0.0,0.0,1.0,0.0,0.0,0
24,Gen.G Esports,3,23,0.88,0.5,0.0,0.0,1.0,0.81,0.9450000000000001,0.5175000000000001,0.7999999999999999,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,1,9,0.64,0.037037037037037035,0.0,0.67,0.21,0.0,0.48250000000000004,0.055,0.2,1.0,0.06666666666666667,0.0,0.5,1.0,0.0,1
25,DetonatioN FocusMe,1,9,0.64,0.037037037037037035,0.0,0.67,0.21,0.0,0.48250000000000004,0.055,0.2,1.0,0.06666666666666667,0.0,0.5,1.0,0.0,3,23,0.88,0.5,0.0,0.0,1.0,0.81,0.9450000000000001,0.5175000000000001,0.7999999999999999,0.9333333333333332,0.0,0.0,1.0,1.0,0.0,0
26,Rex Regum Qeon,3,21,0.78,0.21052631578947367,0.0,0.0,0.33,0.8,0.5549999999999999,0.39,0.5549999999999999,1.0,0.16666666666666666,0.0,1.0,1.0,0.0,1,20,0.62,0.16129032258064516,0.0,0.0,0.3,0.52,0.61,0.195,0.445,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,1
27,ZETA DIVISION,1,20,0.62,0.16129032258064516,0.0,0.0,0.3,0.52,0.61,0.195,0.445,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,3,21,0.78,0.21052631578947367,0.0,0.0,0.33,0.8,0.5549999999999999,0.39,0.5549999999999999,1.0,0.16666666666666666,0.0,1.0,1.0,0.0,0
28,Paper Rex,3,27,0.72,0.1111111111111111,0.0,0.33,0.47,0.54,0.9425,0.215,0.4425,1.0,0.09666666666666668,0.0,1.0,1.0,0.0,3,39,0.76,0.11764705882352941,0.0,0.25,0.53,0.56,0.785,0.0575,0.5575,0.9033333333333333,0.0,0.0,1.0,1.0,0.0,0
29,BOOM Esports,3,39,0.76,0.11764705882352941,0.0,0.25,0.53,0.56,0.785,0.0575,0.5575,0.9033333333333333,0.0,0.0,1.0,1.0,0.0,3,27,0.72,0.1111111111111111,0.0,0.33,0.47,0.54,0.9425,0.215,0.4425,1.0,0.09666666666666668,0.0,1.0,1.0,0.0,1
30,TALON,2,29,0.75,0.13793103448275862,0.2,0.0,0.38,0.69,0.7325,0.2925,0.665,1.0,0.0,0.0,1.0,1.0,0.0,4,29,0.66,0.14705882352941177,0.5,0.0,0.62,0.42,0.7075,0.2675,0.33499999999999996,1.0,0.0,0.0,1.0,1.0,0.0,1
31,Nongshim RedForce,4,29,0.66,0.14705882352941177,0.5,0.0,0.62,0.42,0.7075,0.2675,0.33499999999999996,1.0,0.0,0.0,1.0,1.0,0.0,2,29,0.75,0.13793103448275862,0.2,0.0,0.38,0.69,0.7325,0.2925,0.665,1.0,0.0,0.0,1.0,1.0,0.0,0
32,DRX,2,27,0.84,0.13333333333333333,0.0,0.0,0.75,0.72,0.875,0.205,0.385,0.96,0.0,0.0,1.0,1.0,0.0,2,12,0.62,0.1111111111111111,0.0,0.0,0.38,0.35,0.7949999999999999,0.125,0.615,1.0,0.04,0.0,1.0,0.0,0.0,1
33,Global Esports,2,12,0.62,0.1111111111111111,0.0,0.0,0.38,0.35,0.7949999999999999,0.125,0.615,1.0,0.04,0.0,1.0,0.0,0.0,2,27,0.84,0.13333333333333333,0.0,0.0,0.75,0.72,0.875,0.205,0.385,0.96,0.0,0.0,1.0,1.0,0.0,0
34,T1,3,30,0.74,0.15625,0.0,0.0,0.58,0.64,0.7325,0.35000000000000003,0.4700000000000001,1.0,0.11333333333333334,0.1,1.0,1.0,0.0,3,32,0.64,0.19047619047619047,0.25,0.33,0.53,0.41,0.6499999999999999,0.26749999999999996,0.53,0.8866666666666667,0.0,0.0,0.9,1.0,0.0,1
35,Team Secret,3,32,0.64,0.19047619047619047,0.25,0.33,0.53,0.41,0.6499999999999999,0.26749999999999996,0.53,0.8866666666666667,0.0,0.0,0.9,1.0,0.0,3,30,0.74,0.15625,0.0,0.0,0.58,0.64,0.7325,0.35000000000000003,0.4700000000000001,1.0,0.11333333333333334,0.1,1.0,1.0,0.0,0
36,Nongshim RedForce,2,25,0.73,0.3333333333333333,0.0,0.75,0.8,0.71,0.855,0.235,0.69,0.89,0.12333333333333334,0.0,1.0,1.0,0.0,2,14,0.67,0.04,0.0,0.25,0.3,0.35,0.765,0.14500000000000002,0.31,0.8766666666666666,0.11,0.0,1.0,1.0,0.0,1
37,Team Secret,2,14,0.67,0.04,0.0,0.25,0.3,0.35,0.765,0.14500000000000002,0.31,0.8766666666666666,0.11,0.0,1.0,1.0,0.0,2,25,0.73,0.3333333333333333,0.0,0.75,0.8,0.71,0.855,0.235,0.69,0.89,0.12333333333333334,0.0,1.0,1.0,0.0,0
38,DRX,2,30,0.67,0.12195121951219512,0.33,0.5,0.4,0.49,0.645,0.3375,0.4625,0.8333333333333334,0.03,0.0,1.0,1.0,0.0,4,37,0.73,0.2,0.0,0.33,0.77,0.53,0.6625,0.35500000000000004,0.5375,0.9700000000000001,0.16666666666666666,0.0,1.0,1.0,0.0,0
39,BOOM Esports,4,37,0.73,0.2,0.0,0.33,0.77,0.53,0.6625,0.35500000000000004,0.5375,0.9700000000000001,0.16666666666666666,0.0,1.0,1.0,0.0,2,30,0.67,0.12195121951219512,0.33,0.5,0.4,0.49,0.645,0.3375,0.4625,0.8333333333333334,0.03,0.0,1.0,1.0,0.0,1
40,T1,3,25,0.68,0.18181818181818182,0.0,0.25,0.53,0.44,0.625,0.19999999999999998,0.405,0.8333333333333334,0.10666666666666667,0.0,1.0,1.0,0.0,3,39,0.71,0.2571428571428571,0.0,0.33,0.53,0.65,0.8,0.375,0.595,0.8933333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,0
41,Rex Regum Qeon,3,39,0.71,0.2571428571428571,0.0,0.33,0.53,0.65,0.8,0.375,0.595,0.8933333333333334,0.16666666666666666,0.0,1.0,1.0,0.0,3,25,0.68,0.18181818181818182,0.0,0.25,0.53,0.44,0.625,0.19999999999999998,0.405,0.8333333333333334,0.10666666666666667,0.0,1.0,1.0,0.0,1
42,Gen.G Esports,3,24,0.76,0.2,0.0,1.0,0.71,0.67,0.9450000000000001,0.30000000000000004,0.595,0.9333333333333332,0.48333333333333334,0.25,1.0,1.0,0.0,1,14,0.69,0.041666666666666664,0.0,0.0,0.4,0.35,0.7,0.055,0.405,0.5166666666666667,0.06666666666666667,0.0,0.75,0.0,0.0,1
43,Global Esports,1,14,0.69,0.041666666666666664,0.0,0.0,0.4,0.35,0.7,0.055,0.405,0.5166666666666667,0.06666666666666667,0.0,0.75,0.0,0.0,3,24,0.76,0.2,0.0,1.0,0.71,0.67,0.9450000000000001,0.30000000000000004,0.595,0.9333333333333332,0.48333333333333334,0.25,1.0,1.0,0.0,0
44,TALON,1,14,0.69,0.07407407407407407,0.0,0.0,0.5,0.4,0.71,0.1925,0.37,0.89,0.04,0.0,0.5,0.0,0.0,3,27,0.79,0.2631578947368421,0.33,0.0,0.63,0.71,0.8075,0.29000000000000004,0.63,0.96,0.11,0.0,1.0,1.0,0.0,0
